,Area_Name,Date,Date.1,Year,Month,Employment,Unemployment,Unemployment_Rate
5716,San Luis Obispo city,July,2020-07-01,2020,July,21600,2500,0.102
5717,San Luis Obispo city,August,2020-08-01,2020,August,21600,1800,0.077
5718,San Luis Obispo city,September,2020-09-01,2020,September,21900,1700,0.07
5719,San Luis Obispo-Paso Robles-Arroyo Grande MSA,March,2020-03-01,2020,March,136300,5400,0.038
5720,San Luis Obispo-Paso Robles-Arroyo Grande MSA,April,2020-04-01,2020,April,114700,18700,0.14
5721,San Luis Obispo-Paso Robles-Arroyo Grande MSA,May,2020-05-01,2020,May,113600,16800,0.129
5722,San Luis Obispo-Paso Robles-Arroyo Grande MSA,June,2020-06-01,2020,June,117600,15200,0.115
5723,San Luis Obispo-Paso Robles-Arroyo Grande MSA,July,2020-07-01,2020,July,119000,13300,0.1
5724,San Luis Obispo-Paso Robles-Arroyo Grande MSA,August,2020-08-01,2020,August,119100,9800,0.076
5725,San Luis Obispo-Paso Robles-Arroyo Grande MSA,September,2020-09-01,2020,September,120800,9400,0.07200000000000001
5726,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",March,2020-03-01,2020,March,135430,5082,0.036000000000000004
5727,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",April,2020-04-01,2020,April,113776,18982,0.14300000000000002
5728,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",May,2020-05-01,2020,May,113507,17335,0.132
5729,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",June,2020-06-01,2020,June,117346,14896,0.113
5730,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",July,2020-07-01,2020,July,120287,12635,0.095
5731,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",August,2020-08-01,2020,August,122132,9854,0.075
5732,San Marcos city,March,2020-03-01,2020,March,40500,1600,0.037000000000000005
5733,San Marcos city,April,2020-04-01,2020,April,35400,5900,0.14300000000000002
5734,San Marcos city,May,2020-05-01,2020,May,35300,5800,0.141
5735,San Marcos city,June,2020-06-01,2020,June,36700,5300,0.127
5736,San Marcos city,July,2020-07-01,2020,July,37100,4800,0.115
5737,San Marcos city,August,2020-08-01,2020,August,37800,3500,0.086
5738,San Marcos city,September,2020-09-01,2020,September,38100,3300,0.081
5739,San Marino city,March,2020-03-01,2020,March,5200,200,0.035
5740,San Marino city,April,2020-04-01,2020,April,4300,600,0.115
5741,San Marino city,May,2020-05-01,2020,May,4200,600,0.118
5742,San Marino city,June,2020-06-01,2020,June,4500,600,0.111
5743,San Marino city,July,2020-07-01,2020,July,4500,500,0.104
5744,San Marino city,August,2020-08-01,2020,August,4600,500,0.093
5745,San Marino city,September,2020-09-01,2020,September,4700,400,0.083
5746,San Martin CDP,March,2020-03-01,2020,March,3700,100,0.029
5747,San Martin CDP,April,2020-04-01,2020,April,3300,400,0.102
5748,San Martin CDP,May,2020-05-01,2020,May,3300,400,0.097
5749,San Martin CDP,June,2020-06-01,2020,June,3400,400,0.092
5750,San Martin CDP,July,2020-07-01,2020,July,3500,300,0.08199999999999999
5751,San Martin CDP,August,2020-08-01,2020,August,3500,200,0.062
5752,San Martin CDP,September,2020-09-01,2020,September,3500,200,0.061
5753,San Mateo County,March,2020-03-01,2020,March,443100,12800,0.028
5754,San Mateo County,April,2020-04-01,2020,April,382100,49000,0.114
5755,San Mateo County,May,2020-05-01,2020,May,381400,48000,0.112
5756,San Mateo County,June,2020-06-01,2020,June,393900,47800,0.108
5757,San Mateo County,July,2020-07-01,2020,July,402900,41500,0.093
5758,San Mateo County,August,2020-08-01,2020,August,407500,31600,0.07200000000000001
5759,San Mateo County,September,2020-09-01,2020,September,408600,31300,0.071
5760,San Mateo city,March,2020-03-01,2020,March,63200,1700,0.027000000000000003
5761,San Mateo city,April,2020-04-01,2020,April,54500,6100,0.101
5762,San Mateo city,May,2020-05-01,2020,May,54400,5900,0.098
5763,San Mateo city,June,2020-06-01,2020,June,56200,5900,0.095
5764,San Mateo city,July,2020-07-01,2020,July,57500,5100,0.08199999999999999
5765,San Mateo city,August,2020-08-01,2020,August,58100,3900,0.063
5766,San Mateo city,September,2020-09-01,2020,September,58300,3800,0.062
5767,San Miguel CDP,March,2020-03-01,2020,March,1200,100,0.08199999999999999
5768,San Miguel CDP,April,2020-04-01,2020,April,1000,400,0.267
5769,San Miguel CDP,May,2020-05-01,2020,May,1000,300,0.249
5770,San Miguel CDP,June,2020-06-01,2020,June,1100,300,0.225
5771,San Miguel CDP,July,2020-07-01,2020,July,1100,300,0.2
5772,San Miguel CDP,August,2020-08-01,2020,August,1100,200,0.155
5773,San Miguel CDP,September,2020-09-01,2020,September,1100,200,0.14800000000000002
5774,San Pablo city,March,2020-03-01,2020,March,13100,600,0.047
5775,San Pablo city,April,2020-04-01,2020,April,11300,2500,0.181
5776,San Pablo city,May,2020-05-01,2020,May,11400,2300,0.17
5777,San Pablo city,June,2020-06-01,2020,June,11700,2400,0.16899999999999998
5778,San Pablo city,July,2020-07-01,2020,July,11800,2200,0.157
5779,San Pablo city,August,2020-08-01,2020,August,11900,1700,0.125
5780,San Pablo city,September,2020-09-01,2020,September,12000,1700,0.124
5781,San Rafael MD,March,2020-03-01,2020,March,133400,4300,0.031
5782,San Rafael MD,April,2020-04-01,2020,April,113700,14400,0.112
