county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Mono,July,2020-07-31,2.0,1.0,1.0,0.0,2.0
Mono,June,2020-06-30,0.0,1.0,0.0,0.0,2.0
Mono,March,2020-03-31,0.0,1.0,0.0,0.0,2.0
Mono,May,2020-05-31,1.0,0.0,0.0,0.0,2.0
Mono,October,2020-10-16,1.0,0.0,0.0,0.0,2.0
Mono,September,2020-09-30,0.0,0.0,0.0,0.0,2.0
Monterey,April,2020-04-30,26.0,26.0,5.0,4.0,122.0
Monterey,August,2020-08-31,62.0,5.0,21.0,1.0,25.0
Monterey,July,2020-07-31,54.0,4.0,17.0,1.0,95.0
Monterey,June,2020-06-30,36.0,7.0,11.0,2.0,100.0
Monterey,March,2020-03-31,11.0,16.0,4.0,2.0,17.0
Monterey,May,2020-05-31,11.0,3.0,5.0,2.0,116.0
Monterey,October,2020-10-16,30.0,3.0,9.0,1.0,38.0
Monterey,September,2020-09-30,34.0,3.0,17.0,2.0,40.0
Napa,April,2020-04-30,2.0,9.0,1.0,4.0,15.0
Napa,August,2020-08-31,10.0,7.0,6.0,3.0,25.0
Napa,July,2020-07-31,14.0,4.0,7.0,1.0,43.0
Napa,June,2020-06-30,7.0,8.0,7.0,2.0,6.0
Napa,March,2020-03-31,3.0,26.0,1.0,1.0,12.0
Napa,May,2020-05-31,2.0,7.0,2.0,2.0,14.0
Napa,October,2020-10-16,8.0,4.0,5.0,1.0,27.0
Napa,September,2020-09-30,7.0,5.0,4.0,2.0,31.0
Nevada,April,2020-04-30,38.0,58.0,2.0,4.0,8.0
Nevada,August,2020-08-31,6.0,4.0,3.0,2.0,12.0
Nevada,July,2020-07-31,5.0,5.0,3.0,1.0,8.0
Nevada,June,2020-06-30,4.0,5.0,3.0,2.0,9.0
Nevada,March,2020-03-31,36.0,40.0,2.0,5.0,6.0
Nevada,May,2020-05-31,1.0,3.0,1.0,2.0,9.0
Nevada,October,2020-10-16,4.0,1.0,2.0,1.0,7.0
Nevada,September,2020-09-30,4.0,2.0,2.0,1.0,7.0
Orange,April,2020-04-30,214.0,225.0,77.0,48.0,457.0
Orange,August,2020-08-31,555.0,82.0,177.0,17.0,333.0
Orange,July,2020-07-31,722.0,180.0,245.0,34.0,465.0
Orange,June,2020-06-30,542.0,120.0,192.0,29.0,455.0
Orange,March,2020-03-31,105.0,251.0,45.0,58.0,131.0
Orange,May,2020-05-31,307.0,131.0,127.0,34.0,441.0
Orange,October,2020-10-16,183.0,53.0,66.0,12.0,252.0
Orange,September,2020-09-30,295.0,78.0,89.0,17.0,268.0
Placer,April,2020-04-30,32.0,30.0,10.0,5.0,111.0
Placer,August,2020-08-31,67.0,39.0,16.0,6.0,34.0
Placer,July,2020-07-31,60.0,40.0,15.0,6.0,37.0
Placer,June,2020-06-30,13.0,35.0,4.0,3.0,65.0
Placer,March,2020-03-31,19.0,27.0,6.0,1.0,29.0
Placer,May,2020-05-31,11.0,59.0,4.0,7.0,88.0
Placer,October,2020-10-16,22.0,40.0,6.0,5.0,33.0
Placer,September,2020-09-30,42.0,30.0,13.0,5.0,38.0
Plumas,April,2020-04-30,0.0,1.0,0.0,0.0,0.0
Plumas,August,2020-08-31,0.0,1.0,0.0,0.0,0.0
Plumas,July,2020-07-31,0.0,3.0,0.0,0.0,0.0
Plumas,June,2020-06-30,0.0,0.0,0.0,0.0,
Plumas,March,2020-03-31,0.0,1.0,0.0,1.0,
