,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
232,Cherryland CDP,01/01/2020,2020,January,7000,400,0.055999999999999994
233,Cherry Valley CDP,01/01/2020,2020,January,3300,100,0.025
234,Chester CDP,01/01/2020,2020,January,850,80,0.08900000000000001
235,Chico city,01/01/2020,2020,January,44700,1900,0.040999999999999995
236,Chilcoot Vinton CDP,01/01/2020,2020,January,0,20,1.0
237,China Lake Acres CDP,01/01/2020,2020,January,600,0,0.07200000000000001
238,Chinese Camp CDP,01/01/2020,2020,January,30,0,0.0
239,Chino city,01/01/2020,2020,January,42200,1500,0.034
240,Chino Hills city,01/01/2020,2020,January,44600,1200,0.026000000000000002
241,Chowchilla city,01/01/2020,2020,January,4200,300,0.071
242,Chualar CDP,01/01/2020,2020,January,600,100,0.107
243,Chula Vista city,01/01/2020,2020,January,119300,4700,0.038
244,Citrus CDP,01/01/2020,2020,January,5300,200,0.031
245,Citrus Heights city,01/01/2020,2020,January,42200,1600,0.038
246,Claremont city,01/01/2020,2020,January,16800,700,0.040999999999999995
247,Clayton city,01/01/2020,2020,January,5800,100,0.015
248,Clearlake city,01/01/2020,2020,January,5460,700,0.114
249,Clearlake Oaks CDP,01/01/2020,2020,January,730,70,0.084
250,Clio CDP,01/01/2020,2020,January,40,0,0.0
251,Cloverdale city,01/01/2020,2020,January,4300,100,0.016
252,Clovis city,01/01/2020,2020,January,52400,2000,0.036000000000000004
253,Clyde CDP,01/01/2020,2020,January,400,0,0.025
254,Coachella city,01/01/2020,2020,January,18100,1900,0.09699999999999999
255,Coalinga city,01/01/2020,2020,January,5900,600,0.086
256,Cobb CDP,01/01/2020,2020,January,490,20,0.040999999999999995
257,Colfax city,01/01/2020,2020,January,900,100,0.051
258,Colton city,01/01/2020,2020,January,23800,1000,0.04
259,Columbia CDP,01/01/2020,2020,January,700,90,0.114
260,Colusa city,01/01/2020,2020,January,2480,480,0.162
261,Commerce city,01/01/2020,2020,January,5700,300,0.054000000000000006
262,Compton city,01/01/2020,2020,January,37400,2500,0.062
263,Concord city,01/01/2020,2020,January,63800,1900,0.028999999999999998
264,Concow CDP,01/01/2020,2020,January,200,0,0.11800000000000001
265,Copperopolis CDP,01/01/2020,2020,January,2280,110,0.046
266,Corcoran city,01/01/2020,2020,January,3800,800,0.179
267,Corning city,01/01/2020,2020,January,2780,220,0.07400000000000001
268,Corona city,01/01/2020,2020,January,82200,2700,0.031
269,Coronado city,01/01/2020,2020,January,7400,200,0.027999999999999997
270,Corralitos CDP,01/01/2020,2020,January,1100,100,0.055
271,Corte Madera town,01/01/2020,2020,January,5400,200,0.031
272,Costa Mesa city,01/01/2020,2020,January,64400,1700,0.026000000000000002
273,Cotati city,01/01/2020,2020,January,4200,100,0.031
274,Coto de Caza CDP,01/01/2020,2020,January,7500,200,0.027000000000000003
275,Cottonwood CDP,01/01/2020,2020,January,1300,100,0.051
276,Country Club CDP,01/01/2020,2020,January,4100,500,0.113
277,Covelo CDP,01/01/2020,2020,January,390,30,0.06
278,Covina city,01/01/2020,2020,January,23300,1200,0.048
279,Crescent City city,01/01/2020,2020,January,1380,80,0.053
280,Crescent Mills CDP,01/01/2020,2020,January,110,0,0.0
281,Crestline CDP,01/01/2020,2020,January,4300,100,0.024
282,C Road CDP,01/01/2020,2020,January,50,10,0.145
283,Crockett CDP,01/01/2020,2020,January,1600,100,0.047
284,Cromberg CDP,01/01/2020,2020,January,80,0,0.0
285,Cudahy city,01/01/2020,2020,January,9800,500,0.046
286,Culver City city,01/01/2020,2020,January,22400,1000,0.040999999999999995
287,Cupertino city,01/01/2020,2020,January,29100,800,0.026000000000000002
288,Cutler CDP,01/01/2020,2020,January,2200,300,0.11699999999999999
289,Cypress city,01/01/2020,2020,January,24400,700,0.028999999999999998
290,Daly City city,01/01/2020,2020,January,64600,1400,0.021
291,Dana Point city,01/01/2020,2020,January,18300,500,0.027999999999999997
292,Danville town,01/01/2020,2020,January,20100,600,0.027000000000000003
293,Darwin CDP,01/01/2020,2020,January,10,0,0.0
294,Davis city,01/01/2020,2020,January,34600,900,0.026000000000000002
295,Day Valley CDP,01/01/2020,2020,January,1500,100,0.057999999999999996
296,Deer Park CDP,01/01/2020,2020,January,300,0,0.057999999999999996
297,Del Aire CDP,01/01/2020,2020,January,5400,200,0.036000000000000004
298,Delano city,01/01/2020,2020,January,17100,5600,0.245
299,Delhi CDP,01/01/2020,2020,January,4800,500,0.09300000000000001
300,Delleker CDP,01/01/2020,2020,January,150,0,0.0
301,Del Mar city,01/01/2020,2020,January,2300,100,0.024
302,Del Monte Forest CDP,01/01/2020,2020,January,1500,200,0.111
303,Del Rey CDP,01/01/2020,2020,January,500,100,0.10300000000000001
304,Del Rey Oaks city,01/01/2020,2020,January,800,100,0.105
305,Denair CDP,01/01/2020,2020,January,2300,100,0.061
306,Derby Acres CDP,01/01/2020,2020,January,100,0,0.016
307,Desert Hot Springs city,01/01/2020,2020,January,11000,700,0.061
308,Desert View Highlands CDP,01/01/2020,2020,January,1000,100,0.071
309,Diablo CDP,01/01/2020,2020,January,100,0,0.0
310,Diamond Bar city,01/01/2020,2020,January,29800,1100,0.035
311,Diamond Springs CDP,01/01/2020,2020,January,5000,300,0.049
312,Dinuba city,01/01/2020,2020,January,9200,1600,0.14800000000000002
313,Discovery Bay CDP,01/01/2020,2020,January,7600,200,0.03
314,Dixon city,01/01/2020,2020,January,9300,400,0.040999999999999995
315,Dixon Lane Meadow Creek CDP,01/01/2020,2020,January,1180,50,0.044000000000000004
316,Dollar Point CDP,01/01/2020,2020,January,500,0,0.023
317,Dorrington CDP,01/01/2020,2020,January,70,0,0.053
