Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Ferndale city,01/01/2020,2020,January,600,0,0.015
Fetters Hot Springs Agua Caliente CDP,01/01/2020,2020,January,2500,0,0.013
Fillmore city,01/01/2020,2020,January,7000,200,0.033
Firebaugh city,01/01/2020,2020,January,3300,500,0.135
Florence Graham CDP,01/01/2020,2020,January,26500,1700,0.06
Florin CDP,01/01/2020,2020,January,19200,1400,0.067
Folsom city,01/01/2020,2020,January,36600,1000,0.026
Fontana city,01/01/2020,2020,January,96200,3600,0.036
Foothill Farms CDP,01/01/2020,2020,January,14600,600,0.041
Ford City CDP,01/01/2020,2020,January,1700,200,0.096
Foresthill CDP,01/01/2020,2020,January,700,0,0.029
Forest Meadows CDP,01/01/2020,2020,January,510,40,0.078
Forestville CDP,01/01/2020,2020,January,2000,100,0.034
Fort Bragg city,01/01/2020,2020,January,2970,150,0.047
Fortuna city,01/01/2020,2020,January,4900,200,0.035
Foster City city,01/01/2020,2020,January,19900,400,0.02
Fountain Valley city,01/01/2020,2020,January,27500,800,0.029
Fowler city,01/01/2020,2020,January,2800,200,0.061
Frazier Park CDP,01/01/2020,2020,January,1100,100,0.093
Freedom CDP,01/01/2020,2020,January,1700,200,0.092
Fremont city,01/01/2020,2020,January,117100,3200,0.027
French Camp CDP,01/01/2020,2020,January,1100,100,0.072
Fresno city,01/01/2020,2020,January,220000,13500,0.058
Friant CDP,01/01/2020,2020,January,200,0,0.138
Fullerton city,01/01/2020,2020,January,68400,2000,0.029
Furnace Creek CDP,01/01/2020,2020,January,120,0,0.009
Galt city,01/01/2020,2020,January,11100,800,0.069
Gardena city,01/01/2020,2020,January,29400,1400,0.046
Garden Acres CDP,01/01/2020,2020,January,4100,400,0.092
Garden Grove city,01/01/2020,2020,January,79200,2600,0.031
Georgetown CDP,01/01/2020,2020,January,1100,100,0.083
Gilroy city,01/01/2020,2020,January,29600,1100,0.035
Glendale city,01/01/2020,2020,January,101000,4300,0.041
Glendora city,01/01/2020,2020,January,25500,1100,0.04
Glen Ellen CDP,01/01/2020,2020,January,500,0,0
Golden Hills CDP,01/01/2020,2020,January,4300,200,0.041
Gold River CDP,01/01/2020,2020,January,3300,100,0.043
Goleta City,01/01/2020,2020,January,16300,400,0.021
Gonzales city,01/01/2020,2020,January,3800,100,0.019
Goshen CDP,01/01/2020,2020,January,1300,200,0.112
Graeagle CDP,01/01/2020,2020,January,180,20,0.091
Grand Terrace city,01/01/2020,2020,January,6300,300,0.039
Granite Bay CDP,01/01/2020,2020,January,10200,400,0.035
Grass Valley city,01/01/2020,2020,January,5640,270,0.046
Graton CDP,01/01/2020,2020,January,700,0,0.057
Greenfield city,01/01/2020,2020,January,7200,700,0.083
Greenhorn CDP,01/01/2020,2020,January,110,20,0.162
Green Valley CDP,01/01/2020,2020,January,800,0,0
Greenville CDP,01/01/2020,2020,January,350,100,0.221
Gridley city,01/01/2020,2020,January,2400,200,0.063
Grover Beach city,01/01/2020,2020,January,6600,300,0.04
Guadalupe city,01/01/2020,2020,January,3100,100,0.039
Guerneville CDP,01/01/2020,2020,January,2400,100,0.031
Gustine city,01/01/2020,2020,January,2500,300,0.102
Hacienda Heights CDP,01/01/2020,2020,January,25700,900,0.035
Half Moon Bay city,01/01/2020,2020,January,7600,100,0.016
Hamilton Branch CDP,01/01/2020,2020,January,190,40,0.181
Hamilton City CDP,01/01/2020,2020,January,970,80,0.075
Hanford city,01/01/2020,2020,January,23200,1900,0.076
Hawaiian Gardens city,01/01/2020,2020,January,6200,300,0.047
Hawthorne city,01/01/2020,2020,January,43500,2000,0.045
Hayfork CDP,01/01/2020,2020,January,880,20,0.018
Hayward city,01/01/2020,2020,January,75100,2500,0.032
Healdsburg city,01/01/2020,2020,January,5900,200,0.027
Heber CDP,01/01/2020,2020,January,1600,400,0.185
Hemet city,01/01/2020,2020,January,28100,1800,0.06
Hercules city,01/01/2020,2020,January,13500,400,0.031
Hermosa Beach city,01/01/2020,2020,January,12500,300,0.021
Hesperia city,01/01/2020,2020,January,34200,1900,0.052
Hidden Hills city,01/01/2020,2020,January,600,0,0.036
Hidden Valley Lake CDP,01/01/2020,2020,January,3060,60,0.019
Highgrove CDP,01/01/2020,2020,January,2300,200,0.066
Highland city,01/01/2020,2020,January,23800,1000,0.04
Hillsborough town,01/01/2020,2020,January,5100,100,0.022
Hilmar Irwin CDP,01/01/2020,2020,January,2600,100,0.033
Hollister city,01/01/2020,2020,January,18800,1400,0.068
Holtville city,01/01/2020,2020,January,2100,500,0.196
Home Garden CDP,01/01/2020,2020,January,500,100,0.152
Home Gardens CDP,01/01/2020,2020,January,5100,200,0.036
Homeland CDP,01/01/2020,2020,January,2800,100,0.046
Hughson city,01/01/2020,2020,January,3200,200,0.05
Huntington Beach city,01/01/2020,2020,January,106000,3100,0.029
