county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Humboldt,4/19/20,44,11,15,,
Imperial,4/19/20,36,,,,
Inyo,4/19/20,,,,,
Kern,4/19/20,,,15,15,
Kings,4/19/20,,,,,
Lake,4/19/20,,,,,
Lassen,4/19/20,,,,,
Los Angeles,4/19/20,3172,830,658,654,
Madera,4/19/20,,,,,
Marin,4/19/20,112,72,44,,
Mariposa,4/19/20,44,,,,
Mendocino,4/19/20,128,82,,,
Merced,4/19/20,,,,,
Mono,4/19/20,48,,,,
Modoc,4/19/20,,,,,
Monterey,4/19/20,,,108,15,
Napa,4/19/20,104,47,18,,
Nevada,4/19/20,27,,,,
Orange,4/19/20,276,31,78,76,
Placer,4/19/20,15,15,,,
Plumas,4/19/20,,,,,
Riverside,4/19/20,422,303,15,15,
Sacramento,4/19/20,316,63,63,63,
San Benito,4/19/20,67,48,,,
San Bernardino,4/19/20,50,37,20,,20
San Diego,4/19/20,2029,409,45,45,
San Francisco,4/19/20,1273,725,,,
San Joaquin,4/19/20,,,,,
San Luis Obispo,4/19/20,154,,14,14,
San Mateo,4/19/20,94,94,,,
Santa Barbara,4/19/20,76,,,,
Santa Clara,4/19/20,453,234,105,105,
Santa Cruz,4/19/20,27,20,35,,
Shasta,4/19/20,20,,,,
Sierra,4/19/20,,,,,
Siskiyou,4/19/20,,,,,
Solano,4/19/20,,,,,
Sonoma,4/19/20,45,45,,,
Stanislaus,4/19/20,121,,,,
Sutter,4/19/20,16,16,,,
Tehama,4/19/20,,,,,
Trinity,4/19/20,,,,,
Tulare,4/19/20,56,,,,
Tuolumne,4/19/20,,,,,
Ventura,4/19/20,398,275,,,
Yolo,4/19/20,246,206,,,
Yuba,4/19/20,35,18,,,
Alameda,4/20/20,403,328,91,91,
Alpine,4/20/20,,,,,
Amador,4/20/20,,,,,
Butte,4/20/20,82,82,,,
Calaveras,4/20/20,20,20,,,
Colusa,4/20/20,,,,,
Contra Costa,4/20/20,340,,,,
Del Norte,4/20/20,,,,,
El Dorado,4/20/20,,,,,
